id,name,unit,faktor,unit_new
873,fresh green chili pepper,small,100,gram
877,dark chocolate,grams,1,gram
878,condensed milk,grams,1,gram
879,chocolate sprinkles,grams,1,gram
880,fresh green beans,grams,1,gram
881,ginger paste,teaspoon of,5,milliliters
882,garlic paste,teaspoon of,5,milliliters
883,paprika powder,teaspoon of,5,milliliters
889,tahini,grams,1,gram
891,ice cubes,grams,1,gram
900,white wine vinegar,teaspoon of,5,milliliters
900,white wine vinegar,tablespoons of,15,milliliters
900,white wine vinegar,tablespoon of,15,milliliters
901,cheese slice,NA,25,gram
919,peas,grams,1,gram
994,penne,grams,1,gram
999,spaghetti,grams,1,gram
1020,basil,gram,1,gram
1067,bacon,slices of,20,gram
1088,milk,milliliters,1,milliliters
1104,onion,small,82,gram
1104,onion,large,90,gram
1104,onion,NA,82,gram
1136,cherry tomatoes,grams,1,gram
1140,pork roast,kilogram,1000,gram
1144,dried red peppers,grams,1,gram
1145,tomato sauce,grams,1,gram
1146,Kashmiri chili powder,teaspoon of,5,milliliters
1149,bulgur,grams,1,gram
